,MCC,accuracy,loss,val_MCC,val_accuracy,val_loss,learning_rate
0,0.37179502836576833,0.5989125967025757,2.0009076595306396,0.5904124369253616,0.8440624475479126,2.270200490951538,0.004999999888241291
1,0.6403639727065179,0.792988121509552,1.1740665435791016,0.6351978838734369,0.7884548902511597,1.9609562158584595,0.004999999888241291
2,0.6579910932081084,0.8160540461540222,0.8769941329956055,0.6550066778217517,0.8499130010604858,1.2252352237701416,0.004999999888241291
3,0.6953589822800494,0.8456253409385681,0.6949378848075867,0.36541257555720247,0.5618816614151001,1.333796501159668,0.004999999888241291
4,0.7371867040172475,0.8726592659950256,0.565588653087616,0.67830139287339,0.858765721321106,0.5783804655075073,0.004999999888241291
5,0.7624838368465784,0.8894340991973877,0.49448147416114807,0.7345817097020916,0.9167604446411133,0.7814394235610962,0.004999999888241291
6,0.743935874298592,0.8800207376480103,0.4912815988063812,0.749370486313339,0.9073693156242371,0.4264470636844635,0.004999999888241291
7,0.7903825521793851,0.9061434268951416,0.404523104429245,0.7594597366184388,0.9163722991943359,0.4590729773044586,0.004999999888241291
8,0.8097493585497637,0.9156234264373779,0.3448621332645416,0.7582671709809452,0.9157037734985352,0.4806446135044098,0.004999999888241291
9,0.8224298199900684,0.9226201176643372,0.3307131826877594,0.7617458075494754,0.9118920564651489,0.38958942890167236,0.0024999999441206455
10,0.8062539751897639,0.9145594239234924,0.34047752618789673,0.8267329079011422,0.945019543170929,0.35681143403053284,0.0024999999441206455
11,0.8305385700763014,0.9272556304931641,0.32064253091812134,0.8465873454808083,0.9533668756484985,0.3778812885284424,0.0024999999441206455
12,0.8313639873347747,0.9271202683448792,0.2960011661052704,0.6931288580612177,0.8758394122123718,0.45377594232559204,0.0024999999441206455
13,0.8265344184109449,0.9247586727142334,0.29705172777175903,0.841296079948972,0.9494632482528687,0.35216981172561646,0.0012499999720603228
14,0.834669578480657,0.9286073446273804,0.29124343395233154,0.8524187941070464,0.9537645578384399,0.3197261691093445,0.0012499999720603228
